x,V(spikes2)
0,0.00E+00
1,1.00E-01
2,1.50E-01
3,3.00E-01
4,5.27E-01
5,7.05E-01
6,9.14E-01
7,1.17E+00
8,1.45E+00
9,1.80E+00
10,2.21E+00
11,2.64E+00
12,2.93E+00
13,3.09E+00
14,3.10E+00
15,3.06E+00
16,2.96E+00
17,2.84E+00
18,2.69E+00
19,2.40E+00
20,2.15E+00
21,1.91E+00
22,1.66E+00
23,1.43E+00
24,1.20E+00
25,9.91E-01
26,7.88E-01
27,6.09E-01
28,4.46E-01
29,3.11E-01
30,1.98E-01
31,1.30E-01
32,8.84E-02
33,5.84E-02
34,3.93E-02
35,2.63E-02
