vin,amp,dt
0.46,0.6286637,0.15068424902661226
0.461,0.6285728,0.15166081152661226
0.462,0.628482,0.12334049902661226
0.463,0.6283911,0.12334049902661226
0.464,0.6283003,0.12334049902661226
0.465,0.6282095,0.13017643652661226
0.466,0.6281186,0.13115299902661226
0.467,0.6280279,0.13115299902661226
0.468,0.6279371,0.13408268652661226
0.46900000000000003,0.6278464,0.14970768652661226
0.47000000000000003,0.6277556,0.11748112402661226
0.47100000000000003,0.627665,0.11748112402661226
0.47200000000000003,0.6275743,0.11845768652661226
0.47300000000000003,0.6274837,0.11845768652661226
0.47400000000000003,0.6273932,0.12041081152661226
0.47500000000000003,0.6273026,0.12041081152661226
0.47600000000000003,0.6272122,0.11748112402661226
0.47700000000000004,0.6271217,0.11748112402661226
0.47800000000000004,0.6270331,0.11752375926873604
0.47900000000000004,0.6269467,0.11947688426873604
0.48,0.6268605,0.11947688426873604
0.481,0.6267743,0.12045344676873604
0.482,0.6266881,0.12045344676873604
0.483,0.6266019,0.12045344676873604
0.484,0.6265159,0.13314875926873604
0.485,0.6264298,0.13314875926873604
0.486,0.6263438,0.11557063426873604
0.487,0.6262578,0.11557063426873604
0.488,0.6261718,0.11752375926873604
0.489,0.6260859,0.11752375926873604
0.49,0.626,0.11850032176873604
0.491,0.6259142,0.11850032176873604
0.492,0.6258284,0.11850032176873604
0.493,0.6257427,0.11850032176873604
0.494,0.625657,0.11752375926873604
0.495,0.6255713,0.11752375926873604
0.496,0.6254857,0.11752375926873604
0.497,0.6254001,0.11752375926873604
0.498,0.6253145,0.11850032176873604
0.499,0.625229,0.11850032176873604
0.5,0.6251435,0.11850032176873604
0.501,0.6250581,0.11850032176873604
0.502,0.6249726,0.12435969676873604
0.503,0.6248872,0.12435969676873604
0.504,0.6248019,0.12435969676873604
0.505,0.6247165,0.12533625926873604
0.506,0.6246313,0.12826594676873604
0.507,0.624546,0.12924250926873604
0.508,0.6244608,0.12924250926873604
0.509,0.6243756,0.11654719676873604
0.51,0.6242905,0.12435969676873604
0.511,0.6242054,0.12728938426873604
0.512,0.6241202,0.12826594676873604
0.513,0.6240352,0.12826594676873604
0.514,0.6239502,0.12924250926873604
0.515,0.6238652,0.12924250926873604
0.516,0.6237802,0.10971125926873604
0.517,0.6236953,0.11459407176873604
0.518,0.6236104,0.11654719676873604
0.519,0.6235255,0.12240657176873604
0.52,0.6234407,0.12240657176873604
0.521,0.6233559,0.12338313426873604
0.522,0.623271,0.12631282176873604
0.523,0.6231863,0.12728938426873604
0.524,0.6231016,0.12728938426873604
0.525,0.6230169,0.12826594676873604
0.526,0.6229323,0.11459407176873604
0.527,0.6228476,0.12240657176873604
0.528,0.622763,0.12631282176873604
0.529,0.6226784,0.12631282176873604
0.53,0.6225939,0.12728938426873604
0.531,0.6225093,0.12728938426873604
0.532,0.6224248,0.12826594676873604
0.533,0.6223404,0.12924250926873604
0.534,0.6222559,0.12924250926873604
0.535,0.6221715,0.13412532176873604
0.536,0.6220871,0.13510188426873604
0.537,0.6220027,0.13607844676873604
0.538,0.6219184,0.13705500926873604
0.539,0.621834,0.11264094676873604
